14840KMKG MKG20050401100509004/01/05 10:05:31  5-MIN KMKG 011505Z 20004KT 10SM CLR 09/02 A3011 460 58 0 210/04 RMK AO2
14840KMKG MKG20050401101009004/01/05 10:10:31  5-MIN KMKG 011510Z 20004KT 10SM CLR 09/02 A3011 460 58 0 200/04 RMK AO2
14840KMKG MKG20050401101509004/01/05 10:15:31  5-MIN KMKG 011515Z 19005KT 10SM CLR 10/02 A3011 460 56 0 190/05 RMK AO2
14840KMKG MKG20050401102009004/01/05 10:20:31  5-MIN KMKG 011520Z 21006KT 10SM CLR 10/02 A3011 460 56 0 220/06 RMK AO2
14840KMKG MKG20050401102509004/01/05 10:25:31  5-MIN KMKG 011525Z 21007KT 10SM CLR 10/02 A3011 460 56 0 220/07 RMK AO2
14840KMKG MKG20050401103009004/01/05 10:30:31  5-MIN KMKG 011530Z 21007KT 10SM CLR 10/02 A3011 460 56 0 220/07 RMK AO2
14840KMKG MKG20050401103509004/01/05 10:35:31  5-MIN KMKG 011535Z 22006KT 10SM CLR 10/02 A3011 460 56 0 220/06 RMK AO2
14840KMKG MKG20050401104009004/01/05 10:40:31  5-MIN KMKG 011540Z 21006KT 10SM CLR 10/02 A3010 460 56 0 210/06 RMK AO2
14840KMKG MKG20050401104509004/01/05 10:45:31  5-MIN KMKG 011545Z 20006KT 10SM CLR 10/01 A3010 460 54 0 200/06 RMK AO2
14840KMKG MKG20050401105010704/01/05 10:50:31  5-MIN KMKG 011550Z 21006KT 10SM CLR 10/01 A3010 460 52 0 210/06 RMK AO2 SLP197 T01000006
14840KMKG MKG20050401105511004/01/05 10:55:31  5-MIN KMKG 011555Z 21005KT 10SM CLR 11/01 A3010 460 52  100 210/05 RMK AO2 SLP196 T01060011
14840KMKG MKG20050401110009304/01/05 11:00:31  5-MIN KMKG 011600Z 18006KT 10SM CLR 11/01 A3010 470 50  100 190/06 RMK AO2
14840KMKG MKG20050401110509104/01/05 11:05:31  5-MIN KMKG 011605Z 18005KT 10SM CLR 10/M01 A3009 470 47 0 190/05 RMK AO2
14840KMKG MKG20050401111009304/01/05 11:10:31  5-MIN KMKG 011610Z 19006KT 10SM CLR 11/00 A3009 470 48  100 190/06 RMK AO2
14840KMKG MKG20050401111509304/01/05 11:15:31  5-MIN KMKG 011615Z 21006KT 10SM CLR 11/M01 A3009 480 46 100 220/06 RMK AO2
14840KMKG MKG20050401112009304/01/05 11:20:31  5-MIN KMKG 011620Z 23005KT 10SM CLR 11/01 A3009 480 50  100 240/05 RMK AO2
14840KMKG MKG20050401112509304/01/05 11:25:31  5-MIN KMKG 011625Z 23006KT 10SM CLR 11/01 A3008 480 52  100 240/06 RMK AO2
14840KMKG MKG20050401113009304/01/05 11:30:31  5-MIN KMKG 011630Z 23006KT 10SM CLR 11/01 A3008 480 50  100 240/06 RMK AO2
14840KMKG MKG20050401113509304/01/05 11:35:31  5-MIN KMKG 011635Z 23006KT 10SM CLR 11/01 A3008 490 52  100 230/06 RMK AO2
14840KMKG MKG20050401114009304/01/05 11:40:31  5-MIN KMKG 011640Z 23007KT 10SM CLR 11/02 A3008 490 54  100 240/07 RMK AO2
14840KMKG MKG20050401114509304/01/05 11:45:31  5-MIN KMKG 011645Z 23007KT 10SM CLR 11/02 A3007 490 54  100 230/07 RMK AO2
14840KMKG MKG20050401115010704/01/05 11:50:31  5-MIN KMKG 011650Z 23007KT 10SM CLR 10/01 A3007 490 54 0 230/07 RMK AO2 SLP187 T01000011
14840KMKG MKG20050401115511004/01/05 11:55:31  5-MIN KMKG 011655Z 23008KT 10SM CLR 10/01 A3007 490 54  100 230/08 RMK AO2 SLP186 T01000011
14840KMKG MKG20050401120009304/01/05 12:00:31  5-MIN KMKG 011700Z 23007KT 10SM CLR 10/01 A3006 500 54  100 240/07 RMK AO2
14840KMKG MKG20050401120509004/01/05 12:05:31  5-MIN KMKG 011705Z 25007KT 10SM CLR 09/01 A3006 500 56 0 250/07 RMK AO2
14840KMKG MKG20050401121009304/01/05 12:10:31  5-MIN KMKG 011710Z 25008KT 10SM CLR 10/01 A3006 500 54  100 250/08 RMK AO2
14840KMKG MKG20050401121509004/01/05 12:15:31  5-MIN KMKG 011715Z 25007KT 10SM CLR 09/01 A3006 500 53 0 260/07 RMK AO2
